Behavior,Category,Description
Estornudar,Otras generales,Expulsar de forma violenta y ruidosa por nariz y boca el aire de los pulmones
Toser,Otras generales,"Expulsar de forma brusca, violenta y ruidosa a traves de la boca el aire de los pulmones"
Resoplar,Autorregulación,Expulsar de forma brusca a traves de la nariz el aire contenido en los pulmones
Lamer contenedor,Otras generales,Pasar la lengua de manera intensa y lenta en las paredes del contenedor
Palatear lengua,Otras generales,Limpiarse cavidad oral mediante multiples movimientos de la lengua
Amenaza 1,Agonista,Estirar cuello hacia abajo y levantar bruscamente la cabeza en dirección a otra vaca sin llegar a hacer contacto físico 
Amenaza 2,Agonista,"Con postura rígida y erguida y haciendo contacto visual con otra vaca, aproximarse pisando fuerte en ocasiones haciendo contacto corporal"
Amenaza 3,Agonista,Lanzar alimento mediante un resoplido hacia el individuo de al lado
Amenaza 4,Agonista,Lanzar agua mediante un resoplido hacia un individuo determinado
Amenaza 5,Agonista,Lanzar el aire contenido en los pulmones hacia otro individuo fijando la mirada y produciendo un sonido grave y corto
Sumisión,Apaciguamiento,"Estación, columna ligeramente arqueada,  cuello extendido hacia abajo, orejas ligeramente hacia atrás, mirada fija en un objeto o individuo"
Evasión,Apaciguamiento,"Cabeza baja desviando la mirada de otro individuo, movilización para alejarse de la situación"
Agresión 1,Agonista,"Estirar cuello hacia abajo, aproximarse y dar impulso a un golpe con la cabeza hacia otra vaca "
Agresión 2,Agonista,"Estirar cuello hacia abajo, aproximarse y dar impulso a un golpe con la punta del cuerno hacia otra vaca"
Aloacicalamiento 1,Afiliativa,"Lamer repetidas veces alguna parte del cuerpo de otra vaca y continuar con un area diferente (ejemplo: lamer mandibula, frente, mejilla y cuello)"
Aloacicalamiento 2,Afiliativa,Lamer una o dos veces alguna parte del cuerpo de otra vaca (ejemplo: lamer la oreja)
Tope 1,Afiliativa,Hacer contacto con la frente suave pero brevemente con otro individuo 
Tope 2,Afiliativa,Hacer contacto con el hocico suave pero brevemente con otro individuo
Tocar nariz ,Afiliativa,Dos vacas hacen cotacto entre ellas juntando sus narices brevemente
Frotar individuo,Afiliativa,Frotar mandíbula de lado a lado contra el cuerpo de otro individuo
Círculo,Afiliativa,Caminar en círculo detras de otra vaca haciendo contacto visual entre ambas
Aproximarse a individuo,Afiliativa,Caminar hacia otro individuo con postura relajada
Observar ambiente,Exploración,Levantar cabeza en posición erguida y fijar mirada hacia un elemento ubicado fuera del corral siguiendo su desarrollo
Observar ambiente 2,Exploración,Girar el cuello para llevar la cabeza a los costados hacia un lado y luego hacia el otro tratando de observar algo lejano hacia atrás del tren posterior
Olfatear ambiente,Exploración,Levantar cabeza estirando el cuello hacia arriba y aspirar aire haciendo movimientos ligeros de las narinas
Olfatear suelo,Exploración,Bajar la cabeza hasta casi hacer contacto la nariz con el suelo y aspirar aire haciendo movimientos ligeros de las narinas
Flehmen,Exploración,"Dirigir la cabeza hacia arriba, seprar ligeramente los labios, dilatar narinas y absorber aire del ambiente a través de boca y nariz. "
Tocar objeto con labios,Exploración,"Aproximarse a un objeto (barrotes metálicos, comedero, elementos nuevos en el corral) y tocarlos suavemente con los labios fijando la mirada en él"
Observar individuo,Exploración,Levantar cabeza en posición erguida y fijar mirada hacia un elemento ubicado fuera del corral siguiendo sus movimientos
Escuchar ambiente,Exploración,En estación o descanso dirigir una o ambas orejas hacia el origen de un sonido sin voltear la cabeza ni fijar mirada
Mugido 1,Vocalización,"Vocalización de corta duración (1 seg) y de bajo volumen, ligeramente grave sin variar el tono y sin movimiento específico de la cabeza"
Mugido 2,Vocalización,Vocalización que inicia con sonido grave y se hace más agudo y fuerte en volumen a la par que la vaca eleva la boca hacia el aire
Mugido 3,Vocalización,"Sonido grave, brusco y gutural que se emite fijando la mirada en otro individuo"
Mugido 4,Vocalización,Vocalización larga (aproximadamente 4 segundos) sin variar tono ni volumen
