Category,1,2,3,4,5,6
Afiliativa,0.0,0.125,0.0,0.0,0.0,0.0
Beber,0.0,0.0,0.0,0.0,0.0,0.375
Comer,0.5,0.875,0.75,0.8571428571428571,0.75,0.5
Cuidado corporal,0.0,0.0,0.0,0.0,0.125,0.0
Descanso,0.0,0.0,0.0,0.14285714285714285,0.125,0.0
Exploración,0.0,0.0,0.0,0.0,0.0,0.0
Locomoción,0.5,0.0,0.25,0.0,0.0,0.125
Locomoción cola,0.0,0.0,0.0,0.0,0.0,0.0
Rumiación,0.0,0.0,0.0,0.0,0.0,0.0
