Category,7,8,9,10,11,12
Afiliativa,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.0
Apaciguamiento,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
Beber,0.0,0.0,0.0,0.0,0.0,0.0
Comer,0.0,0.05263157894736842,0.16666666666666666,0.0,0.0,0.0
Cuidado corporal,0.0,0.05263157894736842,0.0,0.0,0.0,0.0
Descanso,0.47058823529411764,0.3157894736842105,0.4444444444444444,0.5714285714285714,0.5,0.4117647058823529
Exploración,0.058823529411764705,0.10526315789473684,0.0,0.0,0.07142857142857142,0.0
Locomoción,0.0,0.0,0.05555555555555555,0.0,0.0,0.11764705882352941
Locomoción cola,0.17647058823529413,0.2631578947368421,0.2777777777777778,0.21428571428571427,0.2857142857142857,0.47058823529411764
Rumiación,0.23529411764705882,0.21052631578947367,0.05555555555555555,0.07142857142857142,0.07142857142857142,0.0
