Category,1,2,3,4,5,6
Afiliativa,0.09090909090909091,0.0,0.0,0.06666666666666667,0.0,0.0
Agonista,0.0,0.0,0.0,0.0,0.0,0.0
Apaciguamiento,0.0,0.0,0.0,0.0,0.0,0.0
Autorregulación,0.0,0.0,0.125,0.0,0.0,0.0
Cuidado corporal,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
Descanso,0.6363636363636364,0.8,0.4375,0.4666666666666667,0.5714285714285714,0.5
Exploración,0.0,0.0,0.0,0.06666666666666667,0.0,0.07142857142857142
Locomoción,0.0,0.0,0.0,0.0,0.0,0.0
Locomoción cola,0.09090909090909091,0.1,0.125,0.0,0.07142857142857142,0.0
Locomoción orejas,0.0,0.0,0.0,0.0,0.0,0.0
Rumiación,0.09090909090909091,0.1,0.3125,0.4,0.35714285714285715,0.42857142857142855
